,ID,X,Y
0,27840940,146.915,-36.4304
1,29687220,146.161,-36.0324
2,29688170,146.734,-36.2898
3,29689780,147.249,-36.2092
4,29685440,146.939,-36.2374
5,27846530,147.039,-36.1956
6,29688340,146.981,-36.138
7,27848360,146.953,-36.1795
8,28516210,147.351,-36.0441
9,27849890,147.678,-36.0368
10,29686640,147.203,-37.0241
11,29692510,146.729,-36.376
12,29688540,146.902,-36.1129
13,27845520,147.963,-36.1646
14,29690120,146.857,-36.4678
15,29686590,147.203,-37.0239
16,29686110,146.713,-36.5732
17,29692180,147.04,-36.1964
18,29686150,147.022,-36.3534
19,27838740,147.217,-36.4214
20,27848580,147.977,-36.086
21,29689760,147.291,-36.1936
22,28513650,146.991,-36.4519
23,27841380,147.08,-36.2417
24,27848900,146.824,-36.2979
25,27841500,146.553,-36.4529
26,27373220,147.022,-36.7571
27,29685560,146.995,-36.4549
28,29686520,147.309,-36.0655
29,30251350,147.332,-36.4756
30,29689960,146.873,-36.3719
31,27841660,147.237,-36.2748
32,27839200,146.952,-36.4468
33,27846170,147.066,-36.8631
34,27848680,147.453,-36.521
35,29685400,146.956,-36.1986
36,29690280,146.843,-36.5904
37,28077900,147.282,-36.0456
38,28514110,147.025,-36.1518
39,29686770,146.866,-36.333
40,29685320,146.395,-36.1329
41,27840120,147.08,-36.2432
42,27848590,147.047,-36.2018
43,27633240,146.868,-36.2216
44,28517720,147.033,-36.2519
45,29687290,146.987,-36.451
46,28512820,147.177,-36.7414
47,30397700,146.296,-36.3678
48,28516100,147.582,-35.9891
49,28516440,147.642,-36.0771
50,29689950,147.623,-36.1731
51,27845130,147.314,-36.0767
52,27446620,147.332,-36.0664
53,29691740,146.972,-36.2035
54,29689630,147.235,-37.0208
55,28851430,147.678,-36.0369
56,27845140,147.093,-36.0607
57,27839190,146.976,-36.1373
58,28512720,146.827,-36.3047
59,29686480,147.144,-36.0659
60,27849490,146.957,-36.2037
61,29686760,147.961,-36.1642
62,28517030,146.99,-36.2342
63,29688040,146.576,-36.0401
64,29685480,146.906,-36.4247
65,27843590,147.278,-36.044
66,27845260,147.023,-36.3482
67,29686830,146.869,-36.3423
68,29686870,146.873,-36.3724
69,27446110,147.326,-36.0764
70,27845150,147.087,-36.0657
71,27845200,146.986,-36.2224
72,29689130,147.451,-36.5149
73,27843170,147.263,-36.0441
74,28513320,146.946,-36.23
75,27849520,146.978,-36.1376
76,29688330,146.979,-36.1377
77,28516090,147.593,-35.9783
78,27848340,147.079,-36.2398
79,29687900,147.037,-36.4255
80,27847980,147.441,-36.6831
81,29687170,147.628,-36.1112
82,28516190,147.351,-36.0406
83,27843930,147.754,-36.2169
84,29687140,147.002,-36.5603
85,28517000,146.999,-36.247
86,27848840,147.274,-36.3624
87,27455840,147.655,-35.9542
88,30268660,147.232,-36.4075
89,29689090,146.916,-36.5823
90,27906980,147.326,-36.0764
91,29631640,146.394,-36.0655
92,27843340,147.181,-36.2186
93,28513210,146.278,-36.0775
94,29687890,146.99,-36.2341
95,29661220,146.389,-36.1651
96,29688300,146.976,-36.1373
97,29689580,147.095,-36.0597
98,27849980,147.652,-36.0623
99,29997620,147.024,-36.7614
100,29686630,147.243,-37.0205
101,27848040,147.08,-36.0673
102,29685510,146.916,-36.4308
103,29690010,147.896,-36.1992
104,29092410,146.853,-36.3031
105,28514000,147.047,-36.202
106,29686100,146.719,-36.5577
107,27841070,147.079,-36.2383
108,28517290,146.92,-36.434
109,28516700,147.591,-36.1741
110,30310860,147.053,-36.2081
111,28516020,147.022,-36.5555
112,30248800,147.366,-36.534
113,29686080,146.986,-36.2214
114,27846190,147.193,-37.0164
115,27849280,146.982,-36.4507
116,28516520,147.932,-36.0497
117,27850060,147.663,-36.054
118,29686820,146.869,-36.3418
119,27845190,147.026,-36.3343
120,29685870,147.237,-36.2702
121,27850040,147.08,-36.241
122,28517100,147.051,-36.5303
123,29689560,147.081,-36.0671
124,27845300,147.663,-36.2222
125,27849260,146.24,-36.0741
126,27849800,147.655,-36.0606
127,29689650,147.111,-36.9998
128,27849650,147.012,-36.2563
129,27848790,147.914,-36.0466
130,28516760,147.958,-36.1619
131,27845360,147.681,-36.2127
132,29688370,147.049,-36.2027
133,27843030,147.252,-36.2063
134,28517600,146.556,-36.0418
135,29691010,147.054,-36.8081
136,30255490,147.271,-36.4594
137,29687110,147.812,-36.1508
138,29689840,146.695,-36.4099
139,27642070,146.825,-36.3001
140,29692550,146.415,-36.0605
141,28516080,147.639,-35.961
142,27844920,146.981,-36.2157
143,29685850,147.246,-36.2349
144,29689300,146.77,-36.5965
145,27845860,147.144,-36.7161
146,27839780,147.515,-36.1568
147,28516260,147.318,-36.1015
148,28516250,147.33,-36.0709
149,29690130,146.857,-36.4678
150,29687310,147.908,-36.0438
151,27847240,147.005,-36.2561
152,29686660,146.694,-36.4069
153,29661210,147.821,-36.1421
154,27845780,147.932,-36.0501
155,29686900,146.874,-36.3774
156,29687330,147.793,-35.9714
157,29686800,146.869,-36.3392
158,30311980,147.26,-36.388
159,29687970,146.609,-36.1069
160,27841060,147.079,-36.2334
161,27460390,147.835,-35.9878
162,27848320,147.932,-36.0504
163,27840400,147.006,-36.2571
164,27848960,147.735,-35.9667
165,27847960,147.113,-36.0539
166,28516880,147.172,-36.2213
167,27839440,147.827,-36.3963
168,27198300,147.073,-36.0745
169,27838610,147.728,-36.2233
170,29687100,147.931,-36.049
171,28514520,146.89,-36.1649
172,29690160,146.847,-36.4876
173,28512810,146.227,-36.182
174,29689060,147.084,-36.2707
175,29688440,146.933,-36.2455
176,27847280,147.31,-37.0415
177,29685470,146.897,-36.4188
178,29691750,147.023,-36.3469
179,27844610,147.211,-36.2162
180,29689970,147.628,-36.1713
181,28513640,146.982,-36.4507
182,29686240,146.891,-36.6804
183,29686550,146.676,-36.5074
184,29685380,146.388,-36.1712
185,29688240,146.838,-36.2354
186,29688970,147.082,-36.5761
187,27845080,147.073,-36.2228
188,29686570,147.2,-36.2157
189,27848120,147.039,-36.196
190,29688200,146.827,-36.3034
191,27843550,147.311,-36.0737
192,28516490,147.947,-36.0615
193,29689820,146.694,-36.441
194,29686070,147.086,-36.2718
195,29686140,147.041,-36.4872
196,27379280,147.257,-37.0206
197,27845820,146.953,-36.1797
198,29692290,146.927,-36.1473
199,28121690,147.696,-36.0142
200,30414520,146.92,-36.4335
201,27457670,147.7,-35.9346
202,27460590,147.83,-35.9864
203,28851020,147.552,-36.1776
204,26626260,147.916,-36.0466
205,27848350,147.08,-36.2413
206,28513570,146.966,-36.4491
207,29686610,147.244,-37.0207
208,29688650,147.224,-36.8108
209,29686930,146.876,-36.3835
210,27849670,146.989,-36.1389
211,27848500,147.224,-37.0219
212,27839630,147.919,-36.0473
213,27838850,147.201,-36.4327
214,29686980,146.863,-36.4
215,29685580,146.414,-36.0395
216,29686810,146.869,-36.3415
217,29689810,146.679,-36.4597
